1,2,3,4,5,6,7,8
557.7897339,436.6052856,698.9884033,426.0947266,400.184845,417.9517212,1011.873047,545.7236938
507.3764648,439.3441162,480.1455688,274.225647,387.6009216,253.1903381,934.7302246,456.4701538
438.2331543,362.3322144,402.0447083,125.7661285,270.5473633,180.1743317,608.3475342,155.2498169
528.4090576,689.6724243,404.1518555,199.1766815,481.3788147,241.8344727,1255.564209,316.2155762
108.3725891,142.767334,126.8190765,19.29904556,74.40181732,24.57612801,202.0272827,36.63375473
60.46533585,92.76997375,88.57290649,10.40790367,50.86278534,23.59862709,150.3307648,28.82426834
191.7385559,229.9576416,216.0147095,78.61125946,146.074707,107.4606781,440.4518127,176.8814087
404.5730591,340.7037964,503.8488159,266.8440857,354.4113464,298.3945618,717.1274414,441.6779785
495.2512207,573.6316528,410.3093567,196.1254578,337.6473999,245.2492065,700.6520996,429.6050415
641.4006958,786.1813354,568.7333374,152.4011993,318.4040527,180.5378113,653.4762573,257.3627625
419.5967407,519.666626,444.632019,188.6680603,299.8078613,222.3442688,773.2844238,415.7691956
172.7754669,152.6875305,164.0642548,134.1744232,177.4166107,152.5896606,387.5462646,245.585083
348.1723938,260.6919861,349.597168,247.7955017,208.2278137,245.439209,608.0536499,345.2713013
423.6538086,413.1802368,321.9530334,142.8612823,213.2443085,123.5531464,442.6776123,176.9093018
151.0597382,202.1326904,142.0673065,29.99781227,94.01797485,38.84809875,212.2675171,58.7334137
156.2529144,217.6893005,139.5256958,39.78562927,126.5479279,45.70944214,320.2312927,70.7616272
110.9598694,128.9028778,126.5832672,19.44886971,80.34552002,24.72811317,219.1652222,41.19769287
82.80429077,117.6382446,111.710762,15.18947792,77.61074829,34.32516479,215.8172607,37.73403931
131.4640045,151.0463409,204.04245,46.42024231,121.5795593,57.20336151,289.0083008,104.783577
425.4254761,444.6947021,569.8787231,274.1162109,391.2382202,303.303894,831.8369141,487.1589355
234.0234833,338.8066711,190.0631714,86.37533569,162.2441406,115.1621246,321.276947,182.8075256
323.3909912,304.2367249,272.8240051,101.9657288,152.5220642,135.3010864,420.3666382,185.4074554
351.2398987,380.1218262,365.9064941,160.1917114,215.0350342,191.7044067,619.6068115,341.9397888
204.6251678,182.1224976,198.6834106,184.3651428,202.4991455,224.8175049,466.8718872,294.7026672
338.5560913,256.4259033,378.7705688,232.4729767,233.1434326,253.4857788,639.5516968,353.9893188
658.5046997,752.6970215,532.4202881,192.8873901,311.9570923,149.7667847,594.5374146,228.4933014
339.5112,393.5279236,320.7322388,84.28956604,241.2443237,141.3400116,602.2749023,163.8473816
267.9014893,352.3497925,328.2125549,82.89320374,315.4979858,111.1937561,753.4556274,206.9442749
76.69514465,100.5412292,80.83409882,12.63545036,49.93928909,16.38032532,133.7776794,24.39610672
42.83388138,37.96223831,45.05905914,6.696021557,25.4541626,15.96788311,91.42427063,17.95530701
103.9857635,72.42664337,142.2248535,56.29393005,97.8973999,64.87089539,247.8989716,110.8024521
283.5692444,176.7748413,304.552063,265.7793884,220.9204102,297.9573059,734.4464111,441.1052246
409.1414185,364.395874,382.1416016,220.7479248,327.1337891,277.9932251,746.4107666,425.0362549
323.2485657,249.0532532,277.7879639,127.0239105,185.767868,175.692276,533.3070679,237.9069519
254.4298401,269.3903809,272.0189819,127.8187485,154.9754181,148.781662,429.336731,231.9954987
256.0695801,218.2651978,264.4207764,268.8686829,289.728363,351.011261,758.3619995,486.0915833
353.5747986,225.3086243,427.5343628,312.3994751,266.1539917,310.0658875,782.7619019,407.752655
815.7009888,722.6182251,567.9448853,351.2740479,342.5321655,311.4388123,1108.299805,369.9755859
419.072876,587.9830322,434.3827209,94.09700012,364.1321106,154.9704895,661.4364624,170.7519226
